# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
CSOD, Technology, Software - Application, 2486
CSPI, Technology, Information Technology Services, 2489
CSPR, Consumer Cyclical, Furnishings, Fixtures & Appliances, 2490
CSSE, Communication Services, Broadcasting, 2492
CSTA, Financial Services, Shell Companies, 2493
CSTE, Industrials, Building Products & Equipment, 2494
CSTI, Industrials, Security & Protection Services, 2495
CSTL, Healthcare, Diagnostics & Research, 2496
CSTM, Basic Materials, Aluminum, 2497
CSTR, Financial Services, Banks - Regional, 2498
CSU, Healthcare, Medical Care Facilities, 2499
CSV, Consumer Cyclical, Personal Services, 2500
CSVI, Technology, Information Technology Services, 2501
CSWC, Financial Services, Asset Management, 2502
CSWI, Industrials, Specialty Industrial Machinery, 2503
CSX, Industrials, Railroads, 2504
CSXXY, Communication Services, Internet Content & Information, 2506
CTAC, Financial Services, Shell Companies, 2509
CTAM, Industrials, Industrial Distribution, 2510
CTAQ, Financial Services, Shell Companies, 2511
CTAS, Industrials, Specialty Business Services, 2512
CTB, Consumer Cyclical, Auto Parts, 2513
CTBI, Financial Services, Banks - Regional, 2514
CTEK, Technology, Information Technology Services, 2516
CTG, Technology, Information Technology Services, 2517
CTGO, Basic Materials, Gold, 2518
CTHR, Consumer Cyclical, Luxury Goods, 2520
CTIB, Consumer Cyclical, Specialty Retail, 2521
CTIC, Healthcare, Biotechnology, 2522
CTK, Technology, Software - Application, 2523
CTLP, Technology, Information Technology Services, 2524
CTLT, Healthcare, Drug Manufacturers - Specialty & Generic, 2525
CTMX, Healthcare, Biotechnology, 2526
CTO, Real Estate, Real Estate - Development, 2527
CTO.L, Real Estate, Real Estate - Development, 2528
CTOS, Industrials, Rental & Leasing Services, 2529
CTRE, Real Estate, REIT - Healthcare Facilities, 2531
CTRM, Industrials, Marine Shipping, 2532
CTRN, Consumer Cyclical, Apparel Retail, 2533
CTS, Technology, Electronic Components, 2534
CTSH, Technology, Information Technology Services, 2535
CTSO, Healthcare, Medical Devices, 2536
CTTAY, Consumer Cyclical, Auto Parts, 2537
CTUY, Financial Services, Banks - Regional, 2538
CTVA, Basic Materials, Agricultural Inputs, 2539
CTXR, Healthcare, Biotechnology, 2540
CTXS, Technology, Software - Application, 2541
CTYP, Financial Services, Banks - Regional, 2543
CUBE, Real Estate, REIT - Industrial, 2546
CUBI, Financial Services, Banks - Regional, 2547
CUE, Healthcare, Biotechnology, 2548
CUEN, Technology, Software - Application, 2549
CUII, Financial Services, Insurance Brokers, 2550
CUK, Consumer Cyclical, Leisure, 2551
CULL, Financial Services, Banks - Regional, 2553
CULP, Consumer Cyclical, Textile Manufacturing, 2554
CURI, Communication Services, Broadcasting, 2555
CURLF, Healthcare, Drug Manufacturers - Specialty & Generic, 2556
CURO, Financial Services, Credit Services, 2557
CURR, Healthcare, Drug Manufacturers - Specialty & Generic, 2558
CUSI, Consumer Defensive, Packaged Foods, 2559
CUTR, Healthcare, Medical Devices, 2561
CUYTY, Consumer Defensive, Grocery Stores, 2562
CUZ, Real Estate, REIT - Office, 2563
CVA, Industrials, Waste Management, 2564
CVAC, Healthcare, Biotechnology, 2565
CVBF, Financial Services, Banks - Regional, 2566
CVCO, Consumer Cyclical, Residential Construction, 2567
CVCY, Financial Services, Banks - Regional, 2568
CVEO, Industrials, Specialty Business Services, 2569
CVET, Healthcare, Health Information Services, 2570
CVGI, Consumer Cyclical, Auto Parts, 2571
CVGW, Consumer Defensive, Packaged Foods, 2572
CVI, Energy, Oil & Gas Refining & Marketing, 2573
CVII, Financial Services, Shell Companies, 2574
CVLG, Industrials, Trucking, 2575
CVLT, Technology, Software - Application, 2576
CVLY, Financial Services, Banks - Regional, 2577
CVM, Healthcare, Biotechnology, 2578
CVNA, Consumer Cyclical, Internet Retail, 2579
CVR, Industrials, Tools & Accessories, 2580
CVS, Healthcare, Healthcare Plans, 2581
CVSI, Healthcare, Drug Manufacturers - Specialty & Generic, 2583
CVU, Industrials, Aerospace & Defense, 2584
CVV, Industrials, Specialty Industrial Machinery, 2585
CVX, Energy, Oil & Gas Integrated, 2586
CW, Industrials, Specialty Industrial Machinery, 2587
CWBC, Financial Services, Banks - Regional, 2588
CWBHF, Healthcare, Drug Manufacturers - Specialty & Generic, 2589
CWBK, Financial Services, Banks - Regional, 2590
CWBR, Healthcare, Biotechnology, 2591
CWCO, Utilities, Utilities - Regulated Water, 2593
CWEN, Utilities, Utilities - Renewable, 2594
CWGL, Consumer Defensive, Beverages - Wineries & Distilleries, 2596
CWH, Consumer Cyclical, Recreational Vehicles, 2597
CWK, Real Estate, Real Estate Services, 2598
CWK.L, Real Estate, Real Estate Services, 2599
CWLDY, Consumer Cyclical, Resorts & Casinos, 2600
CWST, Industrials, Waste Management, 2602
CWT, Utilities, Utilities - Regulated Water, 2603
CX, Basic Materials, Building Materials, 2604
CXDC, Consumer Cyclical, Auto Parts, 2607
CXDO, Communication Services, Telecom Services, 2608
CXW, Real Estate, REIT - Specialty, 2609
CYAD, Healthcare, Biotechnology, 2610
CYAN, Consumer Defensive, Packaged Foods, 2611
CYBA.L, Financial Services, Banks - Regional, 2612
CYBE, Technology, Scientific & Technical Instruments, 2613
CYBQY, Healthcare, Medical Devices, 2615
CYBR.L, Technology, Software - Infrastructure, 2616
CYBR.AS, Technology, Software - Infrastructure, 2617
CYBR, Technology, Software - Infrastructure, 2618
CYBR, Technology, Software - Infrastructure, 2619
CYCC, Healthcare, Biotechnology, 2620
CYCN, Healthcare, Biotechnology, 2621
CYD, Industrials, Specialty Industrial Machinery, 2622
CYDVF, Basic Materials, Other Industrial Metals & Mining, 2623
CYFL, Financial Services, Banks - Regional, 2624
CYGIY, Communication Services, Advertising Agencies, 2626
CYH, Healthcare, Medical Care Facilities, 2627
CYRN, Technology, Software - Infrastructure, 2630
CYRX, Industrials, Integrated Freight & Logistics, 2631
CYTH, Healthcare, Drug Manufacturers - Specialty & Generic, 2634
CYTK, Healthcare, Biotechnology, 2635
CYTR, Healthcare, Biotechnology, 2636
CZBC, Financial Services, Banks - Regional, 2637
CZBS, Financial Services, Banks - Regional, 2638
CZBT, Financial Services, Banks - Regional, 2639
CZFS, Financial Services, Banks - Regional, 2640
CZMWY, Healthcare, Medical Instruments & Supplies, 2641
CZNC, Financial Services, Banks - Regional, 2643
CZNL, Financial Services, Banks - Regional, 2644
CZR, Consumer Cyclical, Resorts & Casinos, 2645
CZWI, Financial Services, Banks - Regional, 2646
D, Utilities, Utilities - Regulated Electric, 2648
DAC, Industrials, Marine Shipping, 2654
DADA, Consumer Cyclical, Internet Retail, 2655
DAFL, Communication Services, Entertainment, 2657
DAIO, Technology, Electronic Components, 2660
DAKT, Technology, Computer Hardware, 2661
DAL, Industrials, Airlines, 2662
DAN, Consumer Cyclical, Auto Parts, 2663
DANOY, Consumer Defensive, Packaged Foods, 2664
DAO, Communication Services, Internet Content & Information, 2665
DAR, Consumer Defensive, Packaged Foods, 2667
DARE, Healthcare, Biotechnology, 2668
DASH, Communication Services, Internet Content & Information, 2670
DASTY, Technology, Software - Application, 2671
DAVA, Technology, Software - Infrastructure, 2672
DBD, Technology, Software - Application, 2675
DBDR, Financial Services, Shell Companies, 2676
DBGI, Consumer Cyclical, Apparel Retail, 2677
DBI, Consumer Cyclical, Apparel Retail, 2678
DBOEY, Financial Services, Financial Data & Stock Exchanges, 2680
DBTX, Healthcare, Biotechnology, 2685
DBVT, Healthcare, Biotechnology, 2686
DBX, Technology, Software - Infrastructure, 2687
DCBO, Technology, Software - Application, 2698
DCI, Industrials, Specialty Industrial Machinery, 2700
DCI.L, Industrials, Specialty Industrial Machinery, 2701
DCO, Industrials, Aerospace & Defense, 2703
DCOM, Financial Services, Banks - Regional, 2704
DCP, Energy, Oil & Gas Midstream, 2705
DCPH, Healthcare, Biotechnology, 2706
DCRB, Financial Services, Shell Companies, 2707
DCRC, Financial Services, Shell Companies, 2708
DCRN, Financial Services, Shell Companies, 2709
DCT, Technology, Software - Application, 2710
DCTH, Healthcare, Medical Devices, 2712
DCYHY, Financial Services, Insurance - Life, 2713
DD, Basic Materials, Specialty Chemicals, 2714
DDD, Technology, Computer Hardware, 2715
DDMX, Financial Services, Shell Companies, 2718
DDOG, Technology, Software - Application, 2719
DDS, Consumer Cyclical, Department Stores, 2720
DE, Industrials, Farm & Heavy Construction Machinery, 2722
DEA, Real Estate, REIT - Office, 2723
DECK, Consumer Cyclical, Footwear & Accessories, 2726
DEH, Financial Services, Shell Companies, 2727
DEI, Real Estate, REIT - Office, 2728
DELKY, Energy, Oil & Gas E&P, 2731
DELL, Technology, Computer Hardware, 2732
DEN, Energy, Oil & Gas E&P, 2735
DENN, Consumer Cyclical, Restaurants, 2736
DEO, Consumer Defensive, Beverages - Wineries & Distilleries, 2737
DESP, Consumer Cyclical, Travel Services, 2741
DFFN, Healthcare, Biotechnology, 2750
DFH, Consumer Cyclical, Residential Construction, 2751
DFHT, Financial Services, Shell Companies, 2752
DFIN, Financial Services, Capital Markets, 2753
DFKCY, Industrials, Specialty Industrial Machinery, 2754
DFNS, Financial Services, Shell Companies, 2755
DFPH, Financial Services, Shell Companies, 2757
DFS, Financial Services, Credit Services, 2758
DFS.L, Financial Services, Credit Services, 2759
DG.PA, Consumer Defensive, Discount Stores, 2761
DG, Consumer Defensive, Discount Stores, 2762
DGICA, Financial Services, Insurance - Property & Casualty, 2765
DGICB, Financial Services, Insurance - Property & Casualty, 2766
DGII, Technology, Communication Equipment, 2767
DGLY, Industrials, Security & Protection Services, 2769
DGNR, Financial Services, Shell Companies, 2771
DGNS, Financial Services, Shell Companies, 2772
DGNU, Financial Services, Shell Companies, 2773
DGX, Healthcare, Diagnostics & Research, 2779
DHBC, Financial Services, Shell Companies, 2781
DHCA, Financial Services, Shell Companies, 2782
DHHC, Financial Services, Shell Companies, 2784
DHI, Consumer Cyclical, Residential Construction, 2785
DHIL, Financial Services, Asset Management, 2786
DHR, Healthcare, Diagnostics & Research, 2787
DHT, Energy, Oil & Gas Midstream, 2789
DHX, Industrials, Staffing & Employment Services, 2790
DIFTY, Real Estate, Real Estate - Diversified, 2795
DIGI.L, Technology, Computer Hardware, 2797
DIMC, Financial Services, Banks - Regional, 2800
DIN, Consumer Cyclical, Restaurants, 2801
DIOD, Technology, Semiconductors, 2802
DIS, Communication Services, Entertainment, 2803
DISA, Financial Services, Shell Companies, 2804
DISCA, Communication Services, Entertainment, 2805
DISCB, Communication Services, Entertainment, 2806
DISCK, Communication Services, Entertainment, 2807
DISH, Communication Services, Entertainment, 2808
DISH.L, Communication Services, Entertainment, 2809
DIT, Consumer Defensive, Food Distribution, 2810
DJCO, Communication Services, Publishing, 2812
DK, Energy, Oil & Gas Refining & Marketing, 2814
DKILY, Industrials, Building Products & Equipment, 2816
DKL.L, Energy, Oil & Gas Midstream, 2817
DKNG, Consumer Cyclical, Gambling, 2818
DKS, Consumer Cyclical, Specialty Retail, 2819
DLA, Consumer Cyclical, Apparel Manufacturing, 2821
DLAKY, Industrials, Airlines, 2822
DLB, Technology, Information Technology Services, 2824
DLCA, Financial Services, Shell Companies, 2825
DLHC, Industrials, Specialty Business Services, 2828
DLPN, Communication Services, Entertainment, 2830
DLR, Real Estate, REIT - Office, 2831
DLTH, Consumer Cyclical, Apparel Retail, 2832
DLTR, Consumer Defensive, Discount Stores, 2833
DLX, Communication Services, Advertising Agencies, 2834
DM, Technology, Computer Hardware, 2835
DMAC, Healthcare, Biotechnology, 2836
DMGGF, Technology, Software - Application, 2837
DMKBA, Financial Services, Banks - Regional, 2839
DMLRY, Consumer Cyclical, Auto Manufacturers, 2840
DMRC, Technology, Information Technology Services, 2842
DMS, Communication Services, Advertising Agencies, 2843
DMTK, Healthcare, Diagnostics & Research, 2844
DMYI, Financial Services, Shell Companies, 2845
DMYQ, Financial Services, Shell Companies, 2846
DMZPY, Consumer Cyclical, Restaurants, 2847
DNB, Technology, Information Technology Services, 2850
DNHBY, Financial Services, Banks - Regional, 2852
DNIYY, Industrials, Specialty Industrial Machinery, 2853
DNKEY, Financial Services, Banks - Regional, 2855
DNLI, Healthcare, Biotechnology, 2857
DNMR, Basic Materials, Specialty Chemicals, 2859
DNN, Energy, Uranium, 2860
DNNGY, Utilities, Utilities - Renewable, 2861
DNOW, Energy, Oil & Gas Equipment & Services, 2862
DNPLY, Industrials, Specialty Business Services, 2863
DNTUY, Communication Services, Advertising Agencies, 2864
DNZ, Financial Services, Shell Companies, 2865
DNZOY, Consumer Cyclical, Auto Parts, 2866
DOC, Real Estate, REIT - Healthcare Facilities, 2868
DOC, Real Estate, REIT - Healthcare Facilities, 2869
DOCN, Technology, Software - Infrastructure, 2870
DOCU, Technology, Software - Application, 2873
DOGZ, Consumer Defensive, Household & Personal Products, 2874
DOMO, Technology, Software - Application, 2877
DOOR, Industrials, Building Products & Equipment, 2878
DORM, Consumer Cyclical, Auto Parts, 2880
DOV, Industrials, Specialty Industrial Machinery, 2882
DOW, Basic Materials, Chemicals, 2883
DOX, Technology, Software - Infrastructure, 2884
DOYU, Communication Services, Internet Content & Information, 2885
DPSGY, Industrials, Integrated Freight & Logistics, 2892
DPW.DE, Industrials, Electrical Equipment & Parts, 2893
DPW, Industrials, Electrical Equipment & Parts, 2894
DPZ, Consumer Cyclical, Restaurants, 2898
DQ, Technology, Semiconductor Equipment & Materials, 2899
DQJCY, Consumer Defensive, Discount Stores, 2900
DRD, Basic Materials, Gold, 2901
DRE, Real Estate, REIT - Industrial, 2903
DRI, Consumer Cyclical, Restaurants, 2904
DRI.DE, Consumer Cyclical, Restaurants, 2905
DRIO, Healthcare, Diagnostics & Research, 2906
DRNA, Healthcare, Biotechnology, 2908
DRQ, Energy, Oil & Gas Equipment & Services, 2909
DRRX, Healthcare, Drug Manufacturers - Specialty & Generic, 2910
DRVN, Consumer Cyclical, Auto & Truck Dealerships, 2912
DS, Consumer Cyclical, Leisure, 2916
DSAC, Financial Services, Shell Companies, 2917
DSCSY, Technology, Semiconductor Equipment & Materials, 2918
DSDVY, Industrials, Integrated Freight & Logistics, 2920
DSEY, Consumer Cyclical, Personal Services, 2921
DSGN, Healthcare, Biotechnology, 2923
DSGT, Technology, Scientific & Technical Instruments, 2924
DSGX, Technology, Software - Application, 2925
DSKE, Industrials, Trucking, 2926
DSNKY, Healthcare, Drug Manufacturers - General, 2929
DSP, Technology, Software - Application, 2930
DSPG, Technology, Semiconductors, 2931
DSS, Industrials, Specialty Business Services, 2932
DSSI, Energy, Oil & Gas Midstream, 2933
DSWL, Technology, Electronic Components, 2934
DSX, Industrials, Marine Shipping, 2935
DT, Technology, Software - Application, 2937
DTCWY, Real Estate, Real Estate - Development, 2938
DTE.DE, Utilities, Utilities - Regulated Electric, 2939
DTE, Utilities, Utilities - Regulated Electric, 2940
DTEA, Consumer Defensive, Packaged Foods, 2941
DTEGY, Communication Services, Telecom Services, 2943
DTIL, Healthcare, Biotechnology, 2944
DTOC, Financial Services, Shell Companies, 2945
DTRK, Healthcare, Health Information Services, 2946
DTRL, Communication Services, Publishing, 2947
DTSS, Technology, Software - Infrastructure, 2948
DUFRY, Consumer Cyclical, Specialty Retail, 2953
DUK, Utilities, Utilities - Regulated Electric, 2954
DUNE, Financial Services, Shell Companies, 2956
DUO, Real Estate, Real Estate Services, 2957
DUOT, Technology, Software - Application, 2958
DURYY, Industrials, Specialty Industrial Machinery, 2959
DV, Technology, Software - Application, 2960
DVA, Healthcare, Medical Care Facilities, 2961
DVAX, Healthcare, Drug Manufacturers - Specialty & Generic, 2962
DVCR, Healthcare, Medical Care Facilities, 2963
DVD, Consumer Cyclical, Leisure, 2964
DVN, Energy, Oil & Gas E&P, 2965
DWAHY, Real Estate, Real Estate - Development, 2970
DWIN, Financial Services, Shell Companies, 2972
DWNX, Financial Services, Banks - Regional, 2974
DWOG, Energy, Oil & Gas E&P, 2975
DWSN, Energy, Oil & Gas Equipment & Services, 2977
DX, Real Estate, REIT - Mortgage, 2978
DXC, Technology, Information Technology Services, 2981
DXCM, Healthcare, Diagnostics & Research, 2982
DXF, Financial Services, Credit Services, 2983
DXLG, Consumer Cyclical, Apparel Retail, 2986
DXPE, Industrials, Industrial Distribution, 2987
DXR, Healthcare, Medical Instruments & Supplies, 2988
DXYN, Consumer Cyclical, Textile Manufacturing, 2990
DY, Industrials, Engineering & Construction, 2991
DYAI, Healthcare, Biotechnology, 2992
DYN, Healthcare, Biotechnology, 2993
DYNE, Technology, Information Technology Services, 2994
DYNR, Basic Materials, Other Precious Metals & Mining, 2995
DYNT, Healthcare, Medical Devices, 2996
DYSL, Technology, Scientific & Technical Instruments, 2997
DZSI, Technology, Communication Equipment, 2998
E, Energy, Oil & Gas Integrated, 2999
EA, Communication Services, Electronic Gaming & Multimedia, 3000
EAC, Financial Services, Shell Companies, 3002
EACO, Technology, Electronics & Computer Distribution, 3003
EADSY, Industrials, Aerospace & Defense, 3004
EAF, Industrials, Electrical Equipment & Parts, 3005
EAR, Healthcare, Medical Devices, 3006
EARN, Real Estate, REIT - Mortgage, 3007
EARS, Healthcare, Biotechnology, 3008
EAST, Consumer Defensive, Beverages - Wineries & Distilleries, 3009
EAT.L, Consumer Cyclical, Restaurants, 3010
EAT, Consumer Cyclical, Restaurants, 3011
EB, Technology, Software - Application, 3012
EBAC, Financial Services, Shell Companies, 3013
EBAY, Consumer Cyclical, Internet Retail, 3014
EBCOY, Industrials, Specialty Industrial Machinery, 3015
EBET, Consumer Cyclical, Gambling, 3016
EBF, Industrials, Business Equipment & Supplies, 3017
EBIX, Technology, Software - Application, 3018
EBKDY, Financial Services, Banks - Regional, 3019
EBMT, Financial Services, Banks - Regional, 3020
EBON, Technology, Computer Hardware, 3021
EBR, Utilities, Utilities - Regulated Electric, 3023
EBRPY, Consumer Defensive, Packaged Foods, 3026
EBS, Healthcare, Drug Manufacturers - Specialty & Generic, 3027
EBS, Healthcare, Drug Manufacturers - Specialty & Generic, 3028
EBSB, Financial Services, Banks - Regional, 3029
EBTC, Financial Services, Banks - Regional, 3030
EC, Energy, Oil & Gas Integrated, 3031
ECHO.L, Industrials, Integrated Freight & Logistics, 3036
ECHO, Industrials, Integrated Freight & Logistics, 3037
ECIA, Healthcare, Medical Instruments & Supplies, 3038
ECIFY, Utilities, Utilities - Diversified, 3039
ECL, Basic Materials, Specialty Chemicals, 3041
ECOL, Industrials, Waste Management, 3044
ECOM, Technology, Software - Application, 3045
ECOM.L, Technology, Software - Application, 3046
ECOM, Technology, Software - Application, 3047
ECOR, Healthcare, Medical Instruments & Supplies, 3048
ECPG, Financial Services, Mortgage Finance, 3049
ECRP, Technology, Computer Hardware, 3050
ED, Utilities, Utilities - Regulated Electric, 3053
EDAP, Healthcare, Medical Devices, 3054
EDHD, Industrials, Specialty Industrial Machinery, 3058
EDIT, Healthcare, Biotechnology, 3060
EDN, Utilities, Utilities - Regulated Electric, 3065
EDNMY, Financial Services, Credit Services, 3066
EDPFY, Utilities, Utilities - Diversified, 3069
EDR.L, Communication Services, Entertainment, 3070
EDR, Communication Services, Entertainment, 3071
EDRY, Industrials, Marine Shipping, 3072
EDSA, Healthcare, Biotechnology, 3073
EDTK, Consumer Defensive, Education & Training Services, 3074
EDTX, Financial Services, Shell Companies, 3075
EDU, Consumer Defensive, Education & Training Services, 3076
EDUC, Communication Services, Publishing, 3077
EEFT, Technology, Software - Infrastructure, 3082
EEIQ, Consumer Defensive, Education & Training Services, 3084
EEX, Communication Services, Advertising Agencies, 3090
EFBI, Financial Services, Banks - Regional, 3091
EFC, Financial Services, Mortgage Finance, 3092
EFGSY, Industrials, Engineering & Construction, 3093
EFGXY, Financial Services, Banks - Diversified, 3094
EFLVF, Industrials, Electrical Equipment & Parts, 3099
EFOI, Consumer Cyclical, Furnishings, Fixtures & Appliances, 3100
EFSC, Financial Services, Banks - Regional, 3102
EFSH, Industrials, Conglomerates, 3103
EFSI, Financial Services, Banks - Regional, 3104
EFX, Industrials, Consulting Services, 3105
EGAN, Technology, Software - Application, 3106
EGBN, Financial Services, Banks - Regional, 3107
EGDW, Financial Services, Banks - Regional, 3108
EGHT, Technology, Software - Application, 3109
EGIEY, Utilities, Utilities - Regulated Electric, 3110
EGLE, Industrials, Marine Shipping, 3112
EGLX, Communication Services, Electronic Gaming & Multimedia, 3114
EGO, Basic Materials, Gold, 3116
EGP, Real Estate, REIT - Industrial, 3117
EGRX, Healthcare, Drug Manufacturers - Specialty & Generic, 3119
EGY, Energy, Oil & Gas E&P, 3120
EH, Industrials, Aerospace & Defense, 3121
EHC, Healthcare, Medical Care Facilities, 3122
EHTH, Financial Services, Insurance Brokers, 3124
EIG, Financial Services, Insurance - Specialty, 3125
EIGR, Healthcare, Biotechnology, 3126
EIX, Utilities, Utilities - Regulated Electric, 3129
EJFA, Financial Services, Shell Companies, 3130
EJH, Industrials, Specialty Business Services, 3132
EJPRY, Industrials, Railroads, 3133
EKSO, Healthcare, Medical Instruments & Supplies, 3136
EKTAY, Healthcare, Medical Instruments & Supplies, 3137
EL.PA, Consumer Defensive, Household & Personal Products, 3138
EL, Consumer Defensive, Household & Personal Products, 3139
ELA, Consumer Cyclical, Specialty Retail, 3140
ELAMF, Consumer Defensive, Packaged Foods, 3141
ELAN, Healthcare, Drug Manufacturers - Specialty & Generic, 3142
ELDN, Healthcare, Biotechnology, 3143
ELEZY, Utilities, Utilities - Regulated Electric, 3145
ELF, Consumer Defensive, Household & Personal Products, 3146
ELLH, Financial Services, Shell Companies, 3152
ELLO, Utilities, Utilities - Renewable, 3153
ELMA, Financial Services, Banks - Regional, 3155
ELMD, Healthcare, Medical Devices, 3156
ELOX, Healthcare, Biotechnology, 3157
ELP, Utilities, Utilities - Diversified, 3158
ELP, Utilities, Utilities - Diversified, 3159
ELS, Real Estate, REIT - Residential, 3160
ELSE, Technology, Scientific & Technical Instruments, 3161
ELTK, Technology, Electronic Components, 3163
ELTP, Healthcare, Drug Manufacturers - Specialty & Generic, 3164
ELUXY, Technology, Consumer Electronics, 3165
ELVT, Financial Services, Credit Services, 3166
ELY, Consumer Cyclical, Leisure, 3167
ELYS, Consumer Cyclical, Gambling, 3168
EM, Consumer Cyclical, Personal Services, 3169
EMAN, Technology, Electronic Components, 3171
EMAN.L, Technology, Electronic Components, 3172
EMCF, Financial Services, Banks - Regional, 3175
EME.L, Industrials, Engineering & Construction, 3178
EME, Industrials, Engineering & Construction, 3179
EMKR, Technology, Semiconductors, 3190
EML.L, Industrials, Tools & Accessories, 3191
EML, Industrials, Tools & Accessories, 3192
EMMS, Communication Services, Broadcasting, 3197
EMN, Basic Materials, Chemicals, 3199
EMR.L, Industrials, Specialty Industrial Machinery, 3201
EMR, Industrials, Specialty Industrial Machinery, 3202
EMYB, Financial Services, Banks - Regional, 3212
ENB, Energy, Oil & Gas Midstream, 3214
ENBP, Financial Services, Banks - Regional, 3215
ENDP, Healthcare, Drug Manufacturers - Specialty & Generic, 3217
ENFA, Financial Services, Shell Companies, 3221
ENG, Industrials, Engineering & Construction, 3222
ENG, Industrials, Engineering & Construction, 3223
ENGGY, Utilities, Utilities - Regulated Gas, 3225
ENGIY, Utilities, Utilities - Diversified, 3228
ENIA, Utilities, Utilities - Regulated Electric, 3229
ENIC, Utilities, Utilities - Regulated Electric, 3230
ENLAY, Utilities, Utilities - Diversified, 3231
ENLC, Energy, Oil & Gas Midstream, 3232
ENLV, Healthcare, Biotechnology, 3233
ENNV, Financial Services, Shell Companies, 3234
ENOB, Healthcare, Biotechnology, 3235
ENPC, Financial Services, Shell Companies, 3237
ENPH, Technology, Solar, 3238
ENR, Industrials, Electrical Equipment & Parts, 3241
ENR.DE, Industrials, Electrical Equipment & Parts, 3242
ENS, Industrials, Electrical Equipment & Parts, 3244
ENSG, Healthcare, Medical Care Facilities, 3245
ENSV, Energy, Oil & Gas Equipment & Services, 3246
ENTA, Healthcare, Biotechnology, 3248
ENTG, Technology, Semiconductor Equipment & Materials, 3249
ENTX, Healthcare, Biotechnology, 3250
ENV, Technology, Software - Application, 3251
ENVA, Financial Services, Credit Services, 3252
ENVB, Healthcare, Biotechnology, 3253
ENVI, Financial Services, Shell Companies, 3254
ENZ, Healthcare, Diagnostics & Research, 3257
ENZN, Healthcare, Biotechnology, 3258
EOG, Energy, Oil & Gas E&P, 3262
EOLS, Healthcare, Drug Manufacturers - Specialty & Generic, 3263
EONGY, Utilities, Utilities - Diversified, 3264
EOSE, Industrials, Electrical Equipment & Parts, 3265
EPAC, Industrials, Specialty Industrial Machinery, 3266
EPAC, Industrials, Specialty Industrial Machinery, 3267
EPAM, Technology, Information Technology Services, 3268
EPAY, Technology, Software - Infrastructure, 3269
EPC, Consumer Defensive, Household & Personal Products, 3270
EPD, Energy, Oil & Gas Midstream, 3271
EPGNY, Healthcare, Diagnostics & Research, 3272
EPHY, Financial Services, Shell Companies, 3273
EPM, Energy, Oil & Gas E&P, 3275
EPOKY, Industrials, Farm & Heavy Construction Machinery, 3276
EPR, Real Estate, REIT - Retail, 3277
EPSN, Energy, Oil & Gas E&P, 3278
EPWR, Financial Services, Shell Companies, 3280
EPZM, Healthcare, Biotechnology, 3281
EQ, Healthcare, Biotechnology, 3282
EQBK, Financial Services, Banks - Regional, 3283
EQC, Real Estate, REIT - Office, 3284
EQD, Financial Services, Shell Companies, 3285
EQFN, Financial Services, Banks - Regional, 3286
EQH, Financial Services, Insurance - Diversified, 3288
EQHA, Financial Services, Shell Companies, 3289
EQIX, Real Estate, REIT - Specialty, 3290
EQNR, Energy, Oil & Gas Integrated, 3294
EQOS, Financial Services, Capital Markets, 3295
EQR, Real Estate, REIT - Residential, 3301
EQS, Financial Services, Asset Management, 3302
EQT, Energy, Oil & Gas E&P, 3304
EQT.L, Energy, Oil & Gas E&P, 3305
EQX, Basic Materials, Gold, 3306
ERES, Financial Services, Shell Companies, 3307
ERF.PA, Energy, Oil & Gas E&P, 3308
ERGO.L, Healthcare, Biotechnology, 3309
ERIC, Technology, Communication Equipment, 3310
ERIE, Financial Services, Insurance Brokers, 3311
ERII, Industrials, Pollution & Treatment Controls, 3312
ERJ, Industrials, Aerospace & Defense, 3313
ERKH, Financial Services, Banks - Regional, 3314
ERMAY, Basic Materials, Other Industrial Metals & Mining, 3316
ERYP, Healthcare, Biotechnology, 3322
ES, Utilities, Utilities - Regulated Electric, 3323
ESALY, Healthcare, Drug Manufacturers - Specialty & Generic, 3324
ESBK, Financial Services, Banks - Regional, 3325
ESCA, Consumer Cyclical, Leisure, 3327
ESE, Technology, Scientific & Technical Instruments, 3328
ESEA, Industrials, Marine Shipping, 3329
ESGC, Communication Services, Entertainment, 3333
ESGR, Financial Services, Insurance - Diversified, 3334
ESI, Basic Materials, Specialty Chemicals, 3337
ESLOY, Healthcare, Medical Instruments & Supplies, 3339
ESLT, Industrials, Aerospace & Defense, 3340
ESM, Financial Services, Shell Companies, 3341
ESNT, Financial Services, Mortgage Finance, 3342
ESNT.L, Financial Services, Mortgage Finance, 3343
ESOA, Industrials, Engineering & Construction, 3345
ESP, Industrials, Electrical Equipment & Parts, 3346
ESP.L, Industrials, Electrical Equipment & Parts, 3347
ESPR, Healthcare, Biotechnology, 3351
ESQ, Financial Services, Banks - Regional, 3352
ESRT, Real Estate, REIT - Diversified, 3353
ESS, Real Estate, REIT - Residential, 3354
ESSA, Financial Services, Banks - Regional, 3355
ESSC, Financial Services, Shell Companies, 3356
ESTA, Healthcare, Medical Devices, 3358
ESTC, Technology, Software - Application, 3359
ESTE, Energy, Oil & Gas E&P, 3360
ESXB, Financial Services, Banks - Regional, 3361
ESYJY, Industrials, Airlines, 3362
ET, Energy, Oil & Gas Midstream, 3364
ETAC, Financial Services, Shell Companies, 3365
ETCMY, Technology, Communication Equipment, 3366
